title,lifetime_gross
Avengers: Endgame,858373000
Jurassic World,652270625
Star Wars: Episode VII - The Force Awakens,936662225
Incredibles 2,608581744
The Dark Knight,533345358
Shrek 2,441226247
It,327481748
Star Wars: Episode VII - The Force Awakens,936662225
Frozen II,477373578
The Secret Life of Pets,368384330
Get Out,176040665
Transformers: Revenge of the Fallen,402111870
Teenage Mutant Ninja Turtles,191204754
Spider-Man: Into the Spider-Verse,190241310
The Chronicles of Narnia: The Lion the Witch and the Wardrobe,291710957
Ice Age 3: Dawn of the Dinosaurs,196573705
It,327481748
The Longest Yard,158119460
Teenage Mutant Ninja Turtles,191204754
Bridesmaids,169106725
300,210614939
Alice in Wonderland,334191110
The Lego Movie,257760692
Madea Goes to Jail,90508336
Scary Stories to Tell in the Dark,68947075
The Firm,158348367
The Bourne Ultimatum,227471070
Godzilla,200676069
Scooby-Doo,153294164
The Notebook,81001787
Minority Report,132072926
Unknown,63686397
National Lampoon's Animal House,120091123
High School Musical 3: Senior Year,90559416
Charlie and the Chocolate Factory,206459076
Wayne's World,121697323
Planes,90288712
Chicken Run,106834564
Coraline,75286229
Watchmen,107509799
Manchester by the Sea,47695371
Candyman,61186570
Earth,32011576
Super Troopers 2,30617396
The Secret World of Arrietty,19202743
